,Atlanta,Bellevue,Chicago,Dallas,Denver,Indianapolis,New York,San Francisco,Seattle,The Ranch,postal_code,state,latitude,longitude
932,0.122255641,0.665509827,0.200269346,0.380180899,0.451946255,0.175463778,0.001929924,0.712027495,0.66551087,0.711052116,11232,New York,40.65531,-74.003475
933,0.123074378,0.666443975,0.201410551,0.381537151,0.45316125,0.176729466,0.001792117,0.713200176,0.666445019,0.712239941,11233,New York,40.677745,-73.914975
934,0.122588847,0.666897795,0.201584539,0.381077981,0.453201282,0.17665869,0.002830664,0.713319539,0.666898839,0.712331926,11234,New York,40.61463,-73.923985
935,0.122114074,0.666710296,0.201224481,0.380413201,0.452764646,0.176166438,0.003294016,0.7129259,0.66671134,0.711923043,11235,New York,40.5841592,-73.9600328
936,0.123210728,0.666147608,0.201220337,0.381607967,0.45302253,0.176636871,0.001358813,0.713029774,0.666148651,0.71208029,11237,New York,40.703765,-73.919805
937,0.12272473,0.665775025,0.200695289,0.380865299,0.452438506,0.176007136,0.001438328,0.712480927,0.665776069,0.711519142,11238,New York,40.681465,-73.964465
938,0.123144664,0.667153856,0.202039005,0.381868732,0.453740295,0.177261447,0.002542272,0.71380974,0.667154899,0.712839298,11239,New York,40.64851,-73.88022
939,0.122650986,0.665575048,0.200494722,0.38070324,0.452241511,0.175815071,0.001342031,0.712281493,0.665576092,0.711320447,11243,New York,40.685135,-73.977465
940,0.122935262,0.665508167,0.200561849,0.381039637,0.452367959,0.17599209,0.000873536,0.712371888,0.66550921,0.711423208,11249,New York,40.71217,-73.96372
941,0.124302701,0.666758916,0.202214903,0.383199002,0.454164844,0.17790406,0.002263848,0.714079725,0.666759959,0.713161974,11354,New York,40.76505,-73.82925
942,0.124252964,0.666964695,0.202365154,0.383206571,0.454288901,0.17800194,0.002344466,0.714220973,0.666965738,0.713297525,11355,New York,40.75074,-73.823235
943,0.12463384,0.666975804,0.202544291,0.383692273,0.454535178,0.178310435,0.002724333,0.714423508,0.666976847,0.713514803,11357,New York,40.7821,-73.80042
944,0.124560481,0.667221196,0.202716765,0.383683447,0.454674231,0.178415592,0.002771871,0.714584795,0.667222239,0.713668745,11358,New York,40.76385,-73.79407
945,0.124675497,0.667427342,0.202940548,0.383899456,0.454901352,0.178643665,0.002998763,0.714809995,0.667428385,0.713894702,11361,New York,40.76331,-73.778385
946,0.125019816,0.667997623,0.203571182,0.384529789,0.455545774,0.179295007,0.00365092,0.715446085,0.667998666,0.7145339,11362,New York,40.7639781,-73.7334788
947,0.124975489,0.667739854,0.203335983,0.384385818,0.455324115,0.179088739,0.003464163,0.71521519,0.667740897,0.714305972,11363,New York,40.77302,-73.747235
948,0.124706607,0.667802859,0.203268532,0.384066952,0.455203465,0.178918072,0.003260628,0.715129394,0.667803902,0.714208467,11364,New York,40.74734,-73.76031
