,Atlanta,bell,chicago,denver,indiana,ny,sf,seattle,ranch,dallas,,,2.18179866,1.82622372,1.667832294,0.017374887,1.826244321,2.966902312,1.710262821,1.826229767,1.695760712,1.221186878
21,1.670863569,4.271324512,1.398828107,3.05195174,1.333615947,0.467226518,4.709892086,4.271331238,4.71425616,2.765922386,,,,,,,,,,,,
22,1.448077997,4.381006941,1.382005984,3.042647196,1.251262689,0.167194336,4.734047462,4.381013746,4.731329956,2.62965318,,,,,,,,,,,,
23,1.345765386,4.374663922,1.343077773,2.997209442,1.191820687,0.056507527,4.696866152,4.374670748,4.691776051,2.54655032,,,,,,,,,,,,
24,1.293066571,4.351276218,1.308354029,2.958921016,1.149784654,0.006732793,4.661214962,4.351283051,4.655258064,2.496824336,,,,,,,,,,,,
25,1.281418706,4.348737185,1.303008377,2.952463052,1.142341024,0.008728171,4.655460073,4.348744019,4.649263916,2.486744313,,,,,,,,,,,,
26,1.283476471,4.350983314,1.305463733,2.954965198,1.144860473,0.006379343,4.657936648,4.350990148,4.651750408,2.48914969,,,,,,,,,,,,
27,1.2841018,4.352246518,1.306699325,2.956165092,1.146016293,0.005653721,4.659160326,4.352253351,4.652966621,2.49008184,,,,,,,,,,,,
28,1.293071571,4.331509511,1.291784411,2.943915958,1.136625212,0.028276591,4.645109512,4.331516342,4.639504476,2.489887383,,,,,,,,,,,,
29,1.296863409,4.348146961,1.306795126,2.958031013,1.149588966,0.013421767,4.659872586,4.348153793,4.654064556,2.498731797,,,,,,,,,,,,
30,1.245695386,4.357404807,1.301134628,2.945190173,1.131239638,0.051397689,4.651089741,4.357411646,4.643858654,2.461513205,,,,,,,,,,,,
31,1.213096959,4.328087358,1.267955822,2.910374973,1.095795056,0.077306383,4.616944411,4.328094199,4.609445574,2.425628175,,,,,,,,,,,,
32,1.209937273,4.331926046,1.270555245,2.912091737,1.097067223,0.081435188,4.619045389,4.331932888,4.61139938,2.4244782,,,,,,,,,,,,
33,1.236421636,4.332311676,1.27726932,2.922562308,1.109537244,0.053391075,4.627815404,4.332318515,4.620812714,2.445501706,,,,,,,,,,,,
34,1.288405931,4.35400375,1.309357205,2.9591703,1.149308608,0.001386085,4.661952083,4.354010584,4.655832055,2.494090371,,,,,,,,,,,,
35,1.288544167,4.35493541,1.310179259,2.959929087,1.150001382,0.001382009,4.662751821,4.354942243,4.656618362,2.494522208,,,,,,,,,,,,
